"configuration","cost_per_use","scalar_registers","average_register_costs","tail_duplication","benchmark","cycles","text_size","data_size","bss_size","function_size","stack_frame_size","ldsp_stsp_count","compact_add_sub_count","full_add_sub_count","compact_xor_count","full_xor_count","compact_mov_count","full_mov_count","short_branch_count","long_branch_count","crc_table_exists","crc_table_size"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","bubble1","1287837","115","64","0","92","0","0","0","1","1","0","1","5","7","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","bubble2","1217277","110","128","0","87","0","0","0","1","1","0","0","5","7","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","bubble4","1839565","131","256","0","108","6","7","0","0","3","0","4","0","7","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","call_args","289179","201","4","0","94","16","8","0","0","3","2","9","3","1","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","constant_arith","7755150","232","130","0","208","8","8","7","7","6","3","6","12","1","2","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","crc16","568040","98","656","0","75","0","0","3","1","3","0","1","3","3","0","True","512"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","divmod","1029370","686","164","0","338","10","15","8","10","8","6","4","9","3","1","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","fibonacci","250048","82","2","0","14","0","0","0","0","1","0","0","0","0","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","fir8","8407376","179","114","0","155","2","2","1","4","2","0","2","1","4","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","fixed_point","11609348","416","258","0","219","6","8","1","6","7","1","6","6","7","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","float","878698","242","134","0","218","8","16","4","4","8","0","10","0","3","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","indirect_call","83052","107","3","0","71","0","0","0","0","1","0","0","1","2","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","loop_control","13887376","100","34","0","77","0","0","2","1","3","0","0","2","4","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","memory_services","18512","107","196","0","84","2","4","1","0","3","0","2","1","4","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","mixed_width","3142866","471","260","0","274","18","33","1","7","9","0","10","9","2","1","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","multiply","764053","224","258","0","200","4","8","13","4","3","0","8","5","3","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","pointer_walk","924704","99","258","0","76","0","0","0","3","1","1","0","2","3","0","False","0"
