"benchmark","reduced_threshold_cycles","original_threshold_cycles","delta_cycles","reduced_threshold_text","original_threshold_text"
"bubble1","1287837","1287837","0","115","115"
"bubble2","1217277","1217277","0","110","110"
"bubble4","1839565","1839565","0","131","131"
"call_args","289179","289179","0","201","201"
"constant_arith","7755150","7755150","0","232","232"
"crc16","568040","568040","0","98","98"
"divmod","1029370","1029370","0","686","686"
"fibonacci","250048","250048","0","82","82"
"fir8","8407376","8407376","0","179","179"
"fixed_point","11609348","11609348","0","416","416"
"float","878698","878698","0","242","242"
"indirect_call","83052","83052","0","107","107"
"loop_control","13887376","13887376","0","100","100"
"memory_services","18512","18512","0","107","107"
"mixed_width","3142866","3142866","0","471","471"
"multiply","764053","764053","0","224","224"
"pointer_walk","924704","924704","0","99","99"
"progmem_walk","3175020","3175020","0","176","176"
"progmem_widen_ldp16","542476","542476","0","166","166"
"progmem_widen_ldp32_bytes","737024","737024","0","232","232"
"progmem_widen_ldp32_words","542465","542465","0","169","169"
"record_scan","1793903","1793903","0","243","243"
"reverse_walk","1926704","1926704","0","96","96"
"select","744268","744268","0","183","183"
"shifts","520129","520129","0","452","452"
"sieve","372894","372894","0","88","88"
"small_memops","785139","779527","-5612","220","244"
"stack_array","820167","820167","0","455","455"
"state_machine","7292256","7292256","0","210","210"
"string_scan","25469691","25469691","0","585","585"
"struct_copy","593528","593528","0","392","392"
"switch","936377","936377","0","197","197"
"sys_memcmp","3024","3024","0","180","180"
"sys_memcmp_p","5303","5303","0","161","161"
"sys_strcmp","2715","2715","0","212","212"
"sys_strcmp_p","5663","5663","0","163","163"
"sys_strlen","3039","3039","0","178","178"
"sys_strlen_p","7209","7209","0","95","95"
"sys_strncat","2360","2360","0","137","137"
"sys_strncat_p","3580","3580","0","145","145"
"sys_strncpy","2291","2291","0","212","212"
"sys_strncpy_p","3794","3794","0","158","158"
"tail_calls","501299","501299","0","87","87"
